Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Gradient Boosting_Pred
257.0,15064.272812418987,14543.94777034282,14427.199732894522,13345.628028876785,17317.00001505331
258.0,15122.295197099635,14594.172955811173,14477.866465476427,13394.302019226312,17411.000014991205
259.0,15180.478428905188,14644.59966121941,14528.735598886296,13443.287733233305,17499.000014934387
260.0,15238.822953729023,14695.228586325524,14579.80783314242,13492.586119773128,17534.000014902616
261.0,15297.329218700621,14746.060432384653,14631.083869753293,13542.198122993177,17577.000014847574
262.0,15355.99767218896,14797.095902143756,14682.56441171232,13592.124682264652,17651.000014786998
263.0,15414.82876380599,14848.335699836232,14734.250163492325,13642.366732134637,17731.00001474043
264.0,15473.82294441002,14899.780531176355,14786.141831040031,13692.925202278395,17825.000014683468
265.0,15532.980666109239,14951.43110335369,14838.240121770436,13743.801017451915,17921.000014630426
266.0,15592.302382265136,15003.288125027368,14890.545744561045,13794.99509744475,17977.00001457359
267.0,15651.788547496004,15055.35230632026,14943.059409746058,13846.508357033075,18073.000014515826
268.0,15711.439617680384,15107.624358813064,14995.781829110398,13898.341705933055,18162.000014458004
269.0,15771.256049960606,15160.104995538291,15048.71371588368,13950.496048754447,18238.000014405516
270.0,15831.238302746262,15212.79493097412,15101.855784734063,14002.972284954474,18322.000014348818
271.0,15891.386835717725,15265.69488103818,15155.20875176199,14055.771308792027,18400.00001429353
272.0,15951.702109829674,15318.805563081209,15208.773334493839,14108.894009282045,18492.000014241832
273.0,16012.184587314632,15372.12769588062,15262.55025187544,14162.341270150297,18557.000014188896
274.0,16072.834731686498,15425.661999633936,15316.540224265527,14216.113969788341,18622.00001413362
275.0,16133.653007744104,15479.409195952168,15370.743973429046,14270.212981208846,18674.000014078174
276.0,16194.639881574783,15533.37000785302,15425.162222530362,14324.639172001178,18746.000014024452
277.0,16255.795820557922,15587.545159754027,15479.795696126388,14379.393404287246,18828.000013972065
278.0,16317.12129336857,15641.93537746559,15534.645120159566,14434.476534677722,18908.00001392171
279.0,16378.616769981012,15696.541388183861,15589.711221950749,14489.889414228492,19000.000013872308
280.0,16440.282721672374,15751.363920483556,15644.994730191984,14545.632888397438,19078.00001381652
281.0,16502.119621026235,15806.403704310647,15700.496374939166,14601.707797001527,19155.000013760786
282.0,16564.127941936255,15861.661470974916,15756.216887604603,14658.1149741742,19233.000013697976
283.0,16626.308159609798,15917.137953142428,15812.157000949454,14714.855248323074,19312.000013641966
284.0,16688.660750571573,15972.833884827887,15868.317449076016,14771.929442087985,19396.000013592587
285.0,16751.186192667286,16028.750001386848,15924.698967419987,14829.33837229928,19460.000013535293
286.0,16813.88496506733,16084.887039507856,15981.302292742517,14887.082849936525,19540.000013479214
287.0,16876.757548270405,16141.245737204415,16038.128163122212,14945.16368008743,19607.000013423203
288.0,16939.80442410725,16197.826833806917,16095.177317946975,15003.581661907194,19691.00001337113
289.0,17003.026075744303,16254.631069954357,16152.450497905756,15062.337588578122,19773.00001331922
290.0,17066.42298768741,16311.659187586025,16209.948444980173,15121.432247269582,19848.0000132626
291.0,17129.99564578555,16368.911929932998,16267.671902436023,15180.866419098293,19925.000013217737
292.0,17193.74453723456,16426.39004150957,16325.621614814654,15240.640879088976,20004.00001316066
293.0,17257.670150580845,16484.094268104538,16383.798327924234,15300.756396135304,20068.00001310597
294.0,17321.772975725144,16542.025356772352,16442.202788830906,15361.213732961205,20120.00001306428
295.0,17386.053503926276,16600.18405582417,16500.83574584978,15422.013646082523,20205.0000130127
296.0,17450.512227804902,16658.571114818777,16559.697948535842,15483.156885769013,20267.000012956665
297.0,17515.14964134732,16717.187284553376,16618.790147674736,15544.644196006666,20363.000012917997
298.0,17579.966239909212,16776.033317054265,16678.11309527338,15606.476314460415,20437.000012860794
299.0,17644.962520219495,16835.10996556738,16737.66754455054,15668.65397243718,20503.00001280915
300.0,17710.138980384058,16894.417984548705,16797.454249927167,15731.177894849234,20560.000012749057
301.0,17775.49611988965,16953.958129654584,16857.473967016696,15794.048800178,20658.00001268694
302.0,17841.034439607654,17013.731157731872,16917.727452615192,15857.267400438126,20755.000012621873
303.0,17906.75444179796,17073.737826807966,16978.21546469133,15920.834401141967,20810.000012572982
304.0,17972.65663011279,17133.978896080727,17038.938762376325,15984.750501264407,20918.000012510187
305.0,18038.74150960058,17194.45512590825,17099.898105953635,16049.016393208078,20996.000012449687
306.0,18105.009586709835,17255.1672777985,17161.094256848603,16113.632762768897,21084.000012391225
307.0,18171.461369293007,17316.116114398847,17222.527977617956,16178.60028910201,21156.00001233798
308.0,18238.097366610404,17377.302399485416,17284.200031939145,16243.919644688081,21249.000012277316
309.0,18304.918089334074,17438.72689795238,17346.111184599577,16309.591495299981,21340.00001222308
