Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Simple Average_Pred
201.0,12058.517068130779,12032.070792553912,11891.996975450691,11086.240220439076,11767.206264143613
202.0,12108.207029232886,12072.079623968604,11932.398574449522,11119.094893747704,11807.945030349678
203.0,12158.034738675506,12112.25330166367,11972.965875616972,11152.20218746534,11848.864025855371
204.0,12208.000578318573,12152.592435780894,12013.699489705914,11185.563232383778,11889.96393404729
205.0,12258.10493108059,12193.097638121611,12054.60002912317,11219.179157542561,11931.245438966982
206.0,12308.34818094159,12233.769522145782,12095.668107928599,11253.051090173192,11972.70922529729
207.0,12358.730712946039,12274.608702971043,12136.904341834079,11287.180155643438,12014.355978348649
208.0,12409.252913205812,12315.615797371665,12178.309348202503,11321.56747740159,12056.186384045392
209.0,12459.91516890315,12356.791423777488,12219.883746046613,11356.214176920806,12098.201128912016
210.0,12510.717868293625,12398.136202272735,12261.628156027858,11391.121373643433,12140.400900059412
211.0,12561.661400709101,12439.650754594837,12303.543200455146,11426.290184925365,12182.786385171112
212.0,12612.746156560755,12481.335704133115,12345.629503283524,11461.721725980484,12225.35827248947
213.0,12663.972527342019,12523.19167592746,12387.887690112828,11497.4171098251,12268.117250801852
214.0,12715.340905631623,12565.219296666906,12430.31838818625,11533.377447222445,12311.064009426806
215.0,12766.851685096575,12607.41919468817,12472.922226388808,11569.603846627242,12354.199238200199
216.0,12818.505260495203,12649.791999974083,12515.699835245809,11606.097414130294,12397.523627461347
217.0,12870.302027680154,12692.338344152009,12558.651846921191,11642.85925340316,12441.03786803913
218.0,12922.24238360145,12735.058860492132,12601.778895215832,11679.890465642893,12484.742651238077
219.0,12974.326726309515,12777.95418390575,12645.081615565778,11717.192149516839,12528.638668824471
220.0,13026.555454958227,12821.024950943403,12688.560645040396,11754.765401107506,12572.726613012383
221.0,13078.928969807992,12864.271799793049,12732.216622340457,11792.611313857537,12617.007176449759
222.0,13131.447672228795,12907.695370278043,12776.050187796169,11830.730978514737,12661.481052204435
223.0,13184.111964703276,12951.296303855162,12820.061983365107,11869.125483077189,12706.148933750183
224.0,13236.92225082983,12995.075243612464,12864.252652630114,11907.795912738498,12751.011514952726
225.0,13289.87893532568,13039.032834267146,12908.62284079707,11946.743349833085,12796.069490055745
226.0,13342.98242403,13083.169722163268,12953.173194692647,11985.968873781605,12841.32355366688
227.0,13396.233123906997,13127.48655526947,12997.904362761954,12025.47356103647,12886.774400743721
228.0,13449.631443049064,13171.983983176531,13042.816995066129,12065.25848502748,12932.422726579802
229.0,13503.177790679882,13216.662657094956,13087.911743279825,12105.324716107563,12978.269226790557
230.0,13556.872577157555,13261.523229852373,13133.189260688681,12145.673321498643,13024.314597299313
231.0,13610.716213977783,13306.566355890967,13178.650202186629,12186.305365237604,13070.559534323247
232.0,13664.709113776982,13351.792691264734,13224.295224273208,12227.22190812244,13117.004734359341
233.0,13718.851690335465,13397.202893636748,13270.12498505075,12268.424007658445,13163.650894170352
234.0,13773.144358580608,13442.79762227627,13316.140144221503,12309.912718004636,13210.498710770753
235.0,13827.587534590028,13488.577538055852,13362.341363084688,12351.689089920255,13257.548881412706
236.0,13882.181635594789,13534.543303448288,13408.729304533448,12393.75417071141,13304.802103571983
237.0,13936.92707998256,13580.695582523565,13455.304633051734,12436.109004177917,13352.259074933943
238.0,13991.824287300868,13627.035040945644,13502.06801471112,12478.754630560234,13399.920493379464
239.0,14046.87367826028,13673.562345969245,13549.02011716751,12521.6920864866,13447.787056970908
240.0,14102.075674737636,13720.278166436481,13596.1616096578,12564.922404920293,13495.859463938054
241.0,14157.430699779296,13767.18317277347,13643.493162996412,12608.446615107081,13544.138412664064
242.0,14212.939177604363,13814.27803698679,13691.015449571774,12652.265742522846,13592.624601671443
243.0,14268.60153360794,13861.563432659945,13738.72914334272,12696.380808821337,13641.318729607985
244.0,14324.418194364393,13909.040034949638,13786.634919834783,12740.792831782172,13690.221495232747
245.0,14380.389587630627,13956.708520582062,13834.733456136419,12785.50282525894,13739.333597402012
246.0,14436.516142349348,14004.569567849021,13883.025430895143,12830.511799127547,13788.655735055265
247.0,14492.798288652353,14052.623856604014,13931.511524313564,12875.820759234737,13838.188607201168
248.0,14549.236457863844,14100.872068258224,13980.192418145365,12921.430707346783,13887.932912903554
249.0,14605.831082503715,14149.314885776395,14029.068795691135,12967.342641098407,13937.889351267415
250.0,14662.582596290871,14197.952993672652,14078.141341794191,13013.55755394187,13988.058621424896
251.0,14719.49143414656,14246.787078006198,14127.410742836255,13060.0764350963,14038.441422521328
252.0,14776.558032197689,14295.817826376962,14176.877686733038,13106.90026949719,14089.038453701218
253.0,14833.782827780185,14345.045927921099,14226.542862929773,13154.030037746139,14139.850414094299
