Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Weighted Average (InvMSE)_Pred
272.0,15951.702005655527,15318.804797236355,15208.773334493839,13974.7083339285,18052.13978974111
273.0,16012.18447920549,15372.127010140446,15262.55025187544,14029.222109329992,18128.05900306996
274.0,16072.83461964515,15425.661394034467,15316.540224265527,14084.066780659035,18204.047891582275
275.0,16133.652891773389,15479.408670528182,15370.743973429046,14139.243201374251,18280.106427425988
276.0,16194.63976167758,15533.369562638074,15425.162222530362,14194.752219022588,18356.234582531368
277.0,16255.795696737161,15587.544794780426,15479.795696126388,14250.594675194763,18432.432328610976
278.0,16317.121165627228,15641.935092764375,15534.645120159566,14306.77140548101,18508.69963715959
279.0,16378.616638322106,15696.541183784806,15589.711221950749,14363.283239427206,18585.036479454146
280.0,16440.282586098972,15751.363796415168,15644.994730191984,14420.131000491314,18661.442826553677
281.0,16502.119481541453,15806.403660600126,15700.496374939166,14477.315506000188,18737.918649299278
282.0,16564.127798543257,15861.661507648181,15756.216887604603,14534.83756710673,18814.463918313977
283.0,16626.308012311787,15917.138070224088,15812.157000949454,14592.697988747397,18891.078604002792
284.0,16688.660599371808,15972.83408234122,15868.317449076016,14650.89756960006,18967.762676552567
285.0,16751.186037569085,16028.750279353824,15924.698967419987,14709.437102042237,19044.516105931983
286.0,16813.88480607404,16084.887397949093,15981.302292742517,14768.317372109675,19121.338861891465
287.0,16876.757385385426,16141.246176139195,16038.128163122212,14827.539159455304,19198.2309139632
288.0,16939.804257334035,16197.827353253148,16095.177317946975,14887.103237308544,19275.192231461
289.0,17003.025905086353,16254.6316699286,16152.450497905756,14947.010372435003,19352.222783480294
290.0,17066.422813148274,16311.659868103448,16209.948444980173,15007.261325096544,19429.322538898094
291.0,17129.99546736883,16368.912691007385,16267.671902436023,15067.8568490117,19506.491466372936
292.0,17193.744354943905,16426.390883153304,16325.621614814654,15128.797691316502,19583.72953434483
293.0,17257.66996441995,16484.0951903286,16383.798327924234,15190.084592525678,19661.036711035213
294.0,17321.772785697758,16542.026359586296,16442.202788830906,15251.718286494215,19738.41296444692
295.0,17386.0533100362,16600.18513923613,16500.83574584978,15313.69950037932,19815.85826236415
296.0,17450.512030055997,16658.57227883544,16559.697948535842,15376.028954602778,19893.372572352386
297.0,17515.149439743476,16717.188529179977,16618.790147674736,15438.707362813679,19970.955861758408
298.0,17579.96603445439,16776.034642294584,16678.11309527338,15501.735431851532,20048.608097710214
299.0,17644.962310917694,16835.111371423725,16737.66754455054,15565.113861709819,20126.329247117035
300.0,17710.138767239332,16894.4194710219,16797.454249927167,15628.843345499881,20204.119276669215
301.0,17775.495902906114,16953.95969674396,16857.473967016696,15692.924569415252,20281.978152838274
302.0,17841.034218789468,17013.732805435262,16917.727452615192,15757.358212696348,20359.90584187682
303.0,17906.75421714933,17073.73955512169,16978.21546469133,15822.144947595605,20437.90230981854
304.0,17972.65640163799,17133.980704999583,17038.938762376325,15887.28543934299,20515.96752247813
305.0,18038.741277303925,17194.45701542549,17099.898105953635,15952.780346111927,20594.10144545134
306.0,18105.009350595697,17255.16924790584,17161.094256848603,16018.630318985597,20672.30404411488
307.0,18171.461129365816,17316.11816508645,17222.527977617956,16084.836001923735,20750.575283626447
308.0,18238.09712287464,17377.304530741876,17284.200031939145,16151.398031729734,20828.91512892464
