date,time_idx,best_model_forecast,best_ensemble_forecast,lower_bound_ci,upper_bound_ci
2025-08-24,972.0,129291.20566632188,89384.35237520965,104841.60485238391,153298.6178811502
2025-08-31,973.0,129520.62521074685,89385.71880904722,105063.75823931234,153505.29554786216
2025-09-07,974.0,129749.83845832202,89391.21064950831,105285.96843946046,153704.7676708876
2025-09-14,975.0,129978.84334748003,89391.22005826054,105508.94757439903,153903.87793114
2025-09-21,976.0,130207.6378246134,89411.39523505354,105731.87505743577,154102.6253069491
2025-09-28,977.0,130436.21984414225,89411.39523505354,105954.74861655083,154301.0087875793
2025-10-05,978.0,130664.58736858172,89411.39523505354,106177.56598204591,154499.02737322834
2025-10-12,979.0,130892.73836860852,89411.3997407903,106400.32488663569,154696.68007502495
2025-10-19,980.0,131120.67082312686,89411.40857348224,106623.07339154131,154893.96591502646
2025-10-26,981.0,131348.38271933387,89411.97999641285,106875.74631338636,155090.88392621503
2025-11-02,982.0,131575.87205278417,89413.22122952662,107128.45100957736,155287.43315249414
2025-11-09,983.0,131803.1368274539,89428.86421565135,107381.18470497958,155483.61264868366
2025-11-16,984.0,132030.17505580423,89428.86493714567,107578.9053161894,155678.80558852892
2025-11-23,985.0,132256.98475884364,89428.87412604051,107762.38761876924,155873.53690920578
2025-11-30,986.0,132483.56396619038,89428.92116609395,107952.84271207926,156067.84141046627
2025-12-07,987.0,132709.91071613366,89431.72264873289,108173.27064449206,156261.00830999887
2025-12-14,988.0,132936.0230556941,89436.18281362728,108393.61737012395,156453.79983088106
2025-12-21,989.0,133161.8990406841,89445.46043837321,108613.88068563252,156646.2151227378
2025-12-28,990.0,133387.53673576677,89446.74879579726,108834.0583911503,156838.25334601576
2026-01-04,991.0,133612.93421451488,87184.1118763055,109054.1482903711,157029.91367197243
2026-01-11,992.0,133838.0895594686,87186.35246042916,109274.14819063623,157272.53260944324
2026-01-18,993.0,134063.00086219277,87195.19036422906,109494.05590302037,157516.78261149582
2026-01-25,994.0,134287.66622333357,87195.57987652067,109713.92656321095,157760.63947244472
2026-02-01,995.0,134512.08375267414,87331.58094493109,109934.4579740968,158004.10137882596
2026-02-08,996.0,134736.25156919003,87327.80860700169,110154.89012473384,158182.74408093403
2026-02-15,997.0,134960.1678011035,87327.80860165154,110375.22082410178,158351.27460910866
2026-02-22,998.0,135183.83058593716,87327.80860165154,110595.44788538765,158533.13476711942
2026-03-01,999.0,135407.2380705673,87327.80860165154,110815.56912607045,158748.11881583236
2026-03-08,1000.0,135630.38841127604,87327.80860165154,111035.58236800558,158962.67345849928
2026-03-15,1001.0,135853.27977380296,87378.00194191889,111255.48543750872,159176.79756408004
2026-03-22,1002.0,136075.9103333961,87380.15352145024,111475.27616543956,159390.2761578634
2026-03-29,1003.0,136298.27827486207,87402.92796094548,111694.95238728491,159621.5548303018
2026-04-05,1004.0,136520.38179261563,87473.63096674916,111914.51194324162,159862.5716783133
2026-04-12,1005.0,136742.21909072847,87482.41357754759,112133.95267829888,160103.16578209787
2026-04-19,1006.0,136963.78838297707,87488.63848165082,112353.27244232027,160343.33542914648
2026-04-26,1007.0,137185.08789289035,87771.92412472173,112572.46909012539,160583.07892283262
2026-05-03,1008.0,137406.1158537959,87771.95404714273,112791.54048157096,160822.39458243188
2026-05-10,1009.0,137626.87050886615,87771.97239243893,113010.48448163162,161061.2807431404
